,symbol,metric,value
139,AAP,EPS (TTM),9.82
140,AAP,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
141,AAP,Forward Dividend & Yield,4.00 (1.72%)
142,AAP,Ex-Dividend Date,"Dec 16, 2021"
143,AAP,1y Target Est,254.69
144,AES,Previous Close,23.57
145,AES,Open,23.66
146,AES,Bid,22.68 x 3100
147,AES,Ask,23.75 x 1300
148,AES,Day's Range,23.51 - 23.73
149,AES,52 Week Range,22.60 - 29.07
150,AES,Volume,"3,790,735"
151,AES,Avg. Volume,"5,018,690"
152,AES,Market Cap,15.701B
153,AES,Beta (5Y Monthly),N/A
154,AES,PE Ratio (TTM),30.35
155,AES,EPS (TTM),0.78
156,AES,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
157,AES,Forward Dividend & Yield,0.63 (2.68%)
158,AES,Ex-Dividend Date,"Jan 31, 2022"
159,AES,1y Target Est,30.55
160,AFL,Previous Close,57.18
161,AFL,Open,57.58
162,AFL,Bid,57.67 x 900
163,AFL,Ask,57.97 x 1200
164,AFL,Day's Range,57.58 - 58.11
165,AFL,52 Week Range,42.96 - 58.52
166,AFL,Volume,"2,326,664"
167,AFL,Avg. Volume,"3,043,531"
168,AFL,Market Cap,38.164B
169,AFL,Beta (5Y Monthly),0.99
170,AFL,PE Ratio (TTM),9.35
171,AFL,EPS (TTM),6.17
172,AFL,Earnings Date,"Feb 02, 2022"
173,AFL,Forward Dividend & Yield,1.60 (2.77%)
174,AFL,Ex-Dividend Date,"Feb 15, 2022"
175,AFL,1y Target Est,58.45
176,A,Previous Close,156.78
177,A,Open,157.29
178,A,Bid,157.04 x 800
179,A,Ask,158.70 x 1000
180,A,Day's Range,156.65 - 158.86
181,A,52 Week Range,112.47 - 179.57
182,A,Volume,"1,411,035"
183,A,Avg. Volume,"1,570,877"
184,A,Market Cap,47.656B
185,A,Beta (5Y Monthly),1.00
186,A,PE Ratio (TTM),40.05
187,A,EPS (TTM),3.94
188,A,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
189,A,Forward Dividend & Yield,0.84 (0.53%)
190,A,Ex-Dividend Date,"Jan 03, 2022"
191,A,1y Target Est,N/A
192,APD,Previous Close,297.16
193,APD,Open,297.40
194,APD,Bid,280.00 x 900
195,APD,Ask,314.39 x 900
196,APD,Day's Range,297.40 - 300.57
197,APD,52 Week Range,245.75 - 316.39
198,APD,Volume,"344,736"
199,APD,Avg. Volume,"1,068,334"
200,APD,Market Cap,66.39B
201,APD,Beta (5Y Monthly),0.80
202,APD,PE Ratio (TTM),31.74
203,APD,EPS (TTM),9.44
204,APD,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
205,APD,Forward Dividend & Yield,6.00 (2.00%)
206,APD,Ex-Dividend Date,"Dec 31, 2021"
207,APD,1y Target Est,325.64
208,AKAM,Previous Close,116.06
209,AKAM,Open,116.06
210,AKAM,Bid,112.55 x 800
211,AKAM,Ask,116.50 x 800
212,AKAM,Day's Range,115.68 - 116.98
213,AKAM,52 Week Range,92.64 - 124.91
214,AKAM,Volume,"701,370"
215,AKAM,Avg. Volume,"1,366,322"
216,AKAM,Market Cap,18.88B
217,AKAM,Beta (5Y Monthly),0.54
218,AKAM,PE Ratio (TTM),31.91
219,AKAM,EPS (TTM),3.64
220,AKAM,Earnings Date,"Feb 15, 2022"
221,AKAM,Forward Dividend & Yield,N/A (N/A)
222,AKAM,Ex-Dividend Date,N/A
223,AKAM,1y Target Est,134.67
224,ALK,Previous Close,52.19
225,ALK,Open,53.00
226,ALK,Bid,52.88 x 800
227,ALK,Ask,53.11 x 1100
228,ALK,Day's Range,52.40 - 53.29
229,ALK,52 Week Range,46.26 - 74.25
230,ALK,Volume,"1,996,069"
231,ALK,Avg. Volume,"1,911,753"
232,ALK,Market Cap,6.644B
233,ALK,Beta (5Y Monthly),1.63
234,ALK,PE Ratio (TTM),509.81
235,ALK,EPS (TTM),0.10
236,ALK,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
237,ALK,Forward Dividend & Yield,N/A (N/A)
238,ALK,Ex-Dividend Date,"Feb 14, 2020"
239,ALK,1y Target Est,77.50
240,ALB,Previous Close,224.15
241,ALB,Open,224.00
242,ALB,Bid,225.52 x 800
243,ALB,Ask,225.97 x 800
244,ALB,Day's Range,223.50 - 228.91
245,ALB,52 Week Range,133.82 - 291.48
246,ALB,Volume,"779,123"
247,ALB,Avg. Volume,"1,160,150"
248,ALB,Market Cap,26.347B
249,ALB,Beta (5Y Monthly),1.59
250,ALB,PE Ratio (TTM),120.70
251,ALB,EPS (TTM),1.87
252,ALB,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
253,ALB,Forward Dividend & Yield,1.56 (0.70%)
254,ALB,Ex-Dividend Date,"Dec 16, 2021"
255,ALB,1y Target Est,263.19
256,ARE,Previous Close,219.17
257,ARE,Open,219.89
258,ARE,Bid,180.00 x 1100
259,ARE,Ask,218.45 x 800
260,ARE,Day's Range,216.55 - 220.00
261,ARE,52 Week Range,154.37 - 220.00
262,ARE,Volume,"448,825"
263,ARE,Avg. Volume,"622,819"
264,ARE,Market Cap,33.725B
265,ARE,Beta (5Y Monthly),0.78
266,ARE,PE Ratio (TTM),33.41
267,ARE,EPS (TTM),6.51
268,ARE,Earnings Date,"Jan 31, 2022"
269,ARE,Forward Dividend & Yield,4.60 (2.11%)
270,ARE,Ex-Dividend Date,"Dec 30, 2021"
271,ARE,1y Target Est,229.64
272,ALGN,Previous Close,645.89
273,ALGN,Open,648.28
274,ALGN,Bid,620.00 x 1200
275,ALGN,Ask,674.89 x 900
276,ALGN,Day's Range,647.28 - 663.61
277,ALGN,52 Week Range,494.45 - 737.45
278,ALGN,Volume,"387,389"
279,ALGN,Avg. Volume,"624,909"
280,ALGN,Market Cap,51.568B
281,ALGN,Beta (5Y Monthly),1.57
282,ALGN,PE Ratio (TTM),70.49
283,ALGN,EPS (TTM),9.28
284,ALGN,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
285,ALGN,Forward Dividend & Yield,N/A (N/A)
286,ALGN,Ex-Dividend Date,N/A
287,ALGN,1y Target Est,752.91
288,ALL,Previous Close,113.42
289,ALL,Open,114.06
290,ALL,Bid,102.55 x 1000
291,ALL,Ask,117.52 x 2200
292,ALL,Day's Range,113.75 - 115.20
293,ALL,52 Week Range,102.55 - 140.00
294,ALL,Volume,"1,063,062"
295,ALL,Avg. Volume,"2,038,520"
296,ALL,Market Cap,32.718B
297,ALL,Beta (5Y Monthly),0.84
298,ALL,PE Ratio (TTM),10.54
299,ALL,EPS (TTM),10.83
300,ALL,Earnings Date,"Feb 02, 2022"
301,ALL,Forward Dividend & Yield,3.24 (2.84%)
302,ALL,Ex-Dividend Date,"Nov 29, 2021"
303,ALL,1y Target Est,130.79
304,GOOGL,Previous Close,"2,928.30"
305,GOOGL,Open,"2,930.00"
306,GOOGL,Bid,"2,935.50 x 800"
307,GOOGL,Ask,"2,938.00 x 1100"
308,GOOGL,Day's Range,"2,929.04 - 2,964.21"
309,GOOGL,52 Week Range,"1,696.10 - 3,019.33"
310,GOOGL,Volume,"1,319,172"
311,GOOGL,Avg. Volume,"1,586,836"
312,GOOGL,Market Cap,1.952T
313,GOOGL,Beta (5Y Monthly),1.07
314,GOOGL,PE Ratio (TTM),28.31
315,GOOGL,EPS (TTM),103.81
316,GOOGL,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
317,GOOGL,Forward Dividend & Yield,N/A (N/A)
318,GOOGL,Ex-Dividend Date,N/A
319,GOOGL,1y Target Est,"3,301.20"
320,GOOG,Previous Close,"2,938.98"
321,GOOG,Open,"2,941.79"
322,GOOG,Bid,"2,938.00 x 800"
323,GOOG,Ask,"2,945.87 x 1000"
324,GOOG,Day's Range,"2,939.02 - 2,971.45"
325,GOOG,52 Week Range,"1,699.00 - 3,037.00"
326,GOOG,Volume,"690,934"
327,GOOG,Avg. Volume,"1,160,553"
328,GOOG,Market Cap,1.952T
329,GOOG,Beta (5Y Monthly),1.07
330,GOOG,PE Ratio (TTM),28.35
331,GOOG,EPS (TTM),103.81
332,GOOG,Earnings Date,N/A
333,GOOG,Forward Dividend & Yield,N/A (N/A)
334,GOOG,Ex-Dividend Date,N/A
335,GOOG,1y Target Est,"3,366.67"
336,MO,Previous Close,46.88
337,MO,Open,46.80
338,MO,Bid,46.50 x 1800
339,MO,Ask,46.70 x 1200
340,MO,Day's Range,46.60 - 47.15
341,MO,52 Week Range,40.00 - 52.59
342,MO,Volume,"7,530,579"
343,MO,Avg. Volume,"8,026,055"
344,MO,Market Cap,85.787B
345,MO,Beta (5Y Monthly),0.68
346,MO,PE Ratio (TTM),31.26
347,MO,EPS (TTM),1.49
348,MO,Earnings Date,"Jan 27, 2022"
349,MO,Forward Dividend & Yield,3.60 (7.71%)
350,MO,Ex-Dividend Date,"Dec 22, 2021"
351,MO,1y Target Est,53.61
352,AMZN,Previous Close,"3,420.74"
353,AMZN,Open,"3,408.56"
354,AMZN,Bid,"3,417.09 x 1100"
355,AMZN,Ask,"3,418.46 x 800"
356,AMZN,Day's Range,"3,403.00 - 3,439.50"
357,AMZN,52 Week Range,"2,881.00 - 3,773.08"
358,AMZN,Volume,"1,839,412"
359,AMZN,Avg. Volume,"3,262,909"
360,AMZN,Market Cap,1.735T
361,AMZN,Beta (5Y Monthly),1.13
362,AMZN,PE Ratio (TTM),66.96
363,AMZN,EPS (TTM),51.10
364,AMZN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
365,AMZN,Forward Dividend & Yield,N/A (N/A)
366,AMZN,Ex-Dividend Date,N/A
367,AMZN,1y Target Est,"4,110.76"
368,AMCR,Previous Close,11.61
369,AMCR,Open,11.62
370,AMCR,Bid,11.00 x 3000
371,AMCR,Ask,11.76 x 4000
372,AMCR,Day's Range,11.62 - 11.74
373,AMCR,52 Week Range,10.33 - 12.92
374,AMCR,Volume,"7,257,244"
375,AMCR,Avg. Volume,"5,912,726"
376,AMCR,Market Cap,17.877B
377,AMCR,Beta (5Y Monthly),0.43
378,AMCR,PE Ratio (TTM),19.21
379,AMCR,EPS (TTM),0.61
380,AMCR,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
381,AMCR,Forward Dividend & Yield,0.48 (4.13%)
382,AMCR,Ex-Dividend Date,"Nov 23, 2021"
383,AMCR,1y Target Est,12.69
384,AEE,Previous Close,86.53
385,AEE,Open,86.75
386,AEE,Bid,0.00 x 900
387,AEE,Ask,88.00 x 900
388,AEE,Day's Range,86.35 - 87.50
389,AEE,52 Week Range,69.79 - 90.77
390,AEE,Volume,"958,611"
391,AEE,Avg. Volume,"997,098"
392,AEE,Market Cap,22.358B
393,AEE,Beta (5Y Monthly),0.34
394,AEE,PE Ratio (TTM),22.62
395,AEE,EPS (TTM),3.84
396,AEE,Earnings Date,"Feb 17, 2022"
397,AEE,Forward Dividend & Yield,2.20 (2.54%)
398,AEE,Ex-Dividend Date,"Dec 07, 2021"
399,AEE,1y Target Est,89.70
400,AAL,Previous Close,18.26
401,AAL,Open,18.59
402,AAL,Bid,18.22 x 2200
403,AAL,Ask,18.26 x 1100
404,AAL,Day's Range,18.15 - 18.72
405,AAL,52 Week Range,14.71 - 26.09
406,AAL,Volume,"32,321,000"
407,AAL,Avg. Volume,"34,363,193"
408,AAL,Market Cap,11.824B
409,AAL,Beta (5Y Monthly),1.67
410,AAL,PE Ratio (TTM),N/A
411,AAL,EPS (TTM),-5.18
412,AAL,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
413,AAL,Forward Dividend & Yield,N/A (N/A)
414,AAL,Ex-Dividend Date,"Feb 04, 2020"
415,AAL,1y Target Est,19.11
416,AEP,Previous Close,86.62
417,AEP,Open,86.52
418,AEP,Bid,86.52 x 1000
419,AEP,Ask,87.60 x 1000
420,AEP,Day's Range,86.33 - 86.99
421,AEP,52 Week Range,74.80 - 91.49
422,AEP,Volume,"1,553,098"
423,AEP,Avg. Volume,"2,685,441"
424,AEP,Market Cap,42.948B
425,AEP,Beta (5Y Monthly),0.35
426,AEP,PE Ratio (TTM),18.17
427,AEP,EPS (TTM),4.76
428,AEP,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
429,AEP,Forward Dividend & Yield,3.12 (3.61%)
430,AEP,Ex-Dividend Date,"Nov 09, 2021"
431,AEP,1y Target Est,96.91
432,AXP,Previous Close,162.47
433,AXP,Open,163.86
434,AXP,Bid,162.90 x 800
435,AXP,Ask,164.45 x 800
436,AXP,Day's Range,163.59 - 166.40
437,AXP,52 Week Range,112.10 - 189.03
438,AXP,Volume,"3,140,482"
439,AXP,Avg. Volume,"3,839,171"
440,AXP,Market Cap,127.174B
441,AXP,Beta (5Y Monthly),1.24
442,AXP,PE Ratio (TTM),17.15
443,AXP,EPS (TTM),9.57
444,AXP,Earnings Date,"Jan 25, 2022"
445,AXP,Forward Dividend & Yield,1.72 (1.05%)
446,AXP,Ex-Dividend Date,"Jan 06, 2022"
447,AXP,1y Target Est,191.83
448,AIG,Previous Close,55.27
449,AIG,Open,55.61
450,AIG,Bid,55.92 x 800
451,AIG,Ask,57.08 x 1400
452,AIG,Day's Range,55.60 - 56.74
453,AIG,52 Week Range,36.80 - 62.54
454,AIG,Volume,"3,980,673"
455,AIG,Avg. Volume,"4,554,452"
456,AIG,Market Cap,46.97B
457,AIG,Beta (5Y Monthly),1.38
458,AIG,PE Ratio (TTM),8.87
459,AIG,EPS (TTM),6.38
460,AIG,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
461,AIG,Forward Dividend & Yield,1.28 (2.26%)
462,AIG,Ex-Dividend Date,"Dec 15, 2021"
463,AIG,1y Target Est,63.86
464,AMT,Previous Close,278.86
465,AMT,Open,275.85
466,AMT,Bid,0.00 x 1200
467,AMT,Ask,0.00 x 1000
468,AMT,Day's Range,275.01 - 279.54
469,AMT,52 Week Range,197.50 - 303.72
470,AMT,Volume,"1,496,639"
471,AMT,Avg. Volume,"1,726,743"
472,AMT,Market Cap,126.815B
473,AMT,Beta (5Y Monthly),0.34
474,AMT,PE Ratio (TTM),50.56
475,AMT,EPS (TTM),5.51
476,AMT,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
477,AMT,Forward Dividend & Yield,5.56 (1.99%)
478,AMT,Ex-Dividend Date,"Dec 23, 2021"
479,AMT,1y Target Est,304.40
480,AWK,Previous Close,183.37
481,AWK,Open,183.55
482,AWK,Bid,175.00 x 900
483,AWK,Ask,185.00 x 900
484,AWK,Day's Range,181.80 - 183.75
485,AWK,52 Week Range,131.01 - 189.35
486,AWK,Volume,"322,820"
487,AWK,Avg. Volume,"711,000"
488,AWK,Market Cap,33.054B
489,AWK,Beta (5Y Monthly),0.28
490,AWK,PE Ratio (TTM),43.37
491,AWK,EPS (TTM),4.20
492,AWK,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
493,AWK,Forward Dividend & Yield,2.41 (1.32%)
494,AWK,Ex-Dividend Date,"Feb 07, 2022"
495,AWK,1y Target Est,175.71
496,AMP,Previous Close,294.63
497,AMP,Open,290.45
498,AMP,Bid,268.87 x 1200
499,AMP,Ask,293.64 x 900
500,AMP,Day's Range,278.68 - 290.45
501,AMP,52 Week Range,184.44 - 312.15
502,AMP,Volume,"584,504"
503,AMP,Avg. Volume,"538,893"
504,AMP,Market Cap,31.757B
505,AMP,Beta (5Y Monthly),1.61
506,AMP,PE Ratio (TTM),15.43
507,AMP,EPS (TTM),18.40
508,AMP,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
509,AMP,Forward Dividend & Yield,4.52 (1.53%)
510,AMP,Ex-Dividend Date,"Nov 05, 2021"
511,AMP,1y Target Est,338.22
512,ABC,Previous Close,127.81
513,ABC,Open,128.30
514,ABC,Bid,126.11 x 800
515,ABC,Ask,130.18 x 1200
516,ABC,Day's Range,127.75 - 129.92
517,ABC,52 Week Range,94.89 - 129.92
518,ABC,Volume,"717,817"
519,ABC,Avg. Volume,"894,750"
520,ABC,Market Cap,26.959B
521,ABC,Beta (5Y Monthly),0.48
522,ABC,PE Ratio (TTM),17.53
523,ABC,EPS (TTM),7.39
524,ABC,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
525,ABC,Forward Dividend & Yield,1.84 (1.42%)
526,ABC,Ex-Dividend Date,"Nov 12, 2021"
527,ABC,1y Target Est,144.15
528,AMGN,Previous Close,221.53
529,AMGN,Open,222.37
530,AMGN,Bid,223.56 x 1000
531,AMGN,Ask,225.89 x 800
532,AMGN,Day's Range,221.50 - 224.47
533,AMGN,52 Week Range,198.64 - 276.69
534,AMGN,Volume,"1,668,828"
535,AMGN,Avg. Volume,"2,918,566"
536,AMGN,Market Cap,126.053B
537,AMGN,Beta (5Y Monthly),0.62
538,AMGN,PE Ratio (TTM),23.07
539,AMGN,EPS (TTM),9.70
540,AMGN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
541,AMGN,Forward Dividend & Yield,7.76 (3.47%)
542,AMGN,Ex-Dividend Date,"Feb 14, 2022"
543,AMGN,1y Target Est,240.04
544,APH,Previous Close,83.11
545,APH,Open,83.68
546,APH,Bid,83.99 x 1100
547,APH,Ask,85.28 x 900
548,APH,Day's Range,83.36 - 84.36
549,APH,52 Week Range,58.58 - 86.05
550,APH,Volume,"1,955,024"
551,APH,Avg. Volume,"2,160,812"
552,APH,Market Cap,50.396B
553,APH,Beta (5Y Monthly),1.24
554,APH,PE Ratio (TTM),35.41
555,APH,EPS (TTM),2.38
556,APH,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
557,APH,Forward Dividend & Yield,0.80 (0.95%)
558,APH,Ex-Dividend Date,"Dec 20, 2021"
559,APH,1y Target Est,83.29
560,ADI,Previous Close,172.29
561,ADI,Open,172.80
562,ADI,Bid,172.66 x 1100
563,ADI,Ask,173.74 x 900
564,ADI,Day's Range,172.57 - 174.34
565,ADI,52 Week Range,142.25 - 191.95
566,ADI,Volume,"2,026,190"
567,ADI,Avg. Volume,"3,388,977"
568,ADI,Market Cap,90.704B
569,ADI,Beta (5Y Monthly),1.12
570,ADI,PE Ratio (TTM),49.90
571,ADI,EPS (TTM),3.46
572,ADI,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
573,ADI,Forward Dividend & Yield,2.76 (1.60%)
574,ADI,Ex-Dividend Date,"Dec 02, 2021"
575,ADI,1y Target Est,208.16
576,ANSS,Previous Close,394.15
577,ANSS,Open,394.60
578,ANSS,Bid,404.78 x 1000
579,ANSS,Ask,426.00 x 1100
580,ANSS,Day's Range,392.25 - 405.77
581,ANSS,52 Week Range,292.79 - 413.89
582,ANSS,Volume,"305,349"
583,ANSS,Avg. Volume,"332,003"
584,ANSS,Market Cap,35.374B
585,ANSS,Beta (5Y Monthly),1.24
586,ANSS,PE Ratio (TTM),76.24
587,ANSS,EPS (TTM),5.32
588,ANSS,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
589,ANSS,Forward Dividend & Yield,N/A (N/A)
590,ANSS,Ex-Dividend Date,N/A
591,ANSS,1y Target Est,416.69
592,ANTM,Previous Close,453.91
593,ANTM,Open,456.16
594,ANTM,Bid,437.00 x 800
595,ANTM,Ask,477.00 x 800
596,ANTM,Day's Range,455.04 - 458.81
597,ANTM,52 Week Range,286.04 - 458.81
598,ANTM,Volume,"646,670"
599,ANTM,Avg. Volume,"1,124,798"
600,ANTM,Market Cap,110.608B
601,ANTM,Beta (5Y Monthly),1.05
602,ANTM,PE Ratio (TTM),20.50
603,ANTM,EPS (TTM),22.23
604,ANTM,Earnings Date,"Jan 26, 2022"
605,ANTM,Forward Dividend & Yield,4.52 (0.99%)
606,ANTM,Ex-Dividend Date,"Dec 02, 2021"
607,ANTM,1y Target Est,479.21
608,AON,Previous Close,295.50
609,AON,Open,297.70
610,AON,Bid,0.00 x 800
611,AON,Ask,0.00 x 800
612,AON,Day's Range,291.48 - 297.70
613,AON,52 Week Range,200.65 - 326.25
614,AON,Volume,"1,412,647"
615,AON,Avg. Volume,"1,296,793"
616,AON,Market Cap,64.72B
617,AON,Beta (5Y Monthly),0.89
618,AON,PE Ratio (TTM),73.20
619,AON,EPS (TTM),4.01
620,AON,Earnings Date,"Feb 03, 2022 - Feb 07, 2022"
621,AON,Forward Dividend & Yield,2.04 (0.69%)
622,AON,Ex-Dividend Date,"Oct 29, 2021"
623,AON,1y Target Est,316.50
624,AOS,Previous Close,82.87
625,AOS,Open,83.14
626,AOS,Bid,81.50 x 800
627,AOS,Ask,86.60 x 800
628,AOS,Day's Range,82.85 - 84.03
629,AOS,52 Week Range,52.08 - 84.03
630,AOS,Volume,"590,432"
631,AOS,Avg. Volume,"1,127,152"
632,AOS,Market Cap,13.311B
633,AOS,Beta (5Y Monthly),1.13
634,AOS,PE Ratio (TTM),28.94
635,AOS,EPS (TTM),2.89
636,AOS,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
637,AOS,Forward Dividend & Yield,1.12 (1.34%)
638,AOS,Ex-Dividend Date,"Oct 28, 2021"
639,AOS,1y Target Est,79.89
640,APA,Previous Close,24.38
641,APA,Open,23.40
642,APA,Bid,23.75 x 1400
643,APA,Ask,24.15 x 1100
644,APA,Day's Range,22.95 - 23.98
645,APA,52 Week Range,13.97 - 31.14
646,APA,Volume,"6,961,827"
647,APA,Avg. Volume,"10,801,040"
648,APA,Market Cap,8.697B
649,APA,Beta (5Y Monthly),4.76
650,APA,PE Ratio (TTM),15.31
651,APA,EPS (TTM),1.56
652,APA,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
653,APA,Forward Dividend & Yield,0.50 (2.05%)
654,APA,Ex-Dividend Date,"Jan 20, 2022"
655,APA,1y Target Est,34.02
656,AAPL,Previous Close,175.64
657,AAPL,Open,175.85
658,AAPL,Bid,176.27 x 800
659,AAPL,Ask,176.40 x 1000
